Month,Year,Period,Home,Away,Result,Stadium,Borough
9,2016,7,West Ham,Southampton,A,London Stadium,Newham
10,2016,7,West Ham,Middlesbrough,D,London Stadium,Newham
10,2016,7,Tottenham,Man City,H,White Hart Lane,Haringey
10,2016,7,Arsenal,Swansea,H,Emirates Stadium,Islington
10,2016,7,Chelsea,Leicester,H,Stamford Bridge,Hammersmith and Fulham
10,2016,7,Crystal Palace,West Ham,A,Selhurst Park,Croydon
10,2016,8,Arsenal,Middlesbrough,D,Emirates Stadium,Islington
10,2016,8,West Ham,Sunderland,H,London Stadium,Newham
10,2016,8,Chelsea,Man United,H,Stamford Bridge,Hammersmith and Fulham
10,2016,8,Crystal Palace,Liverpool,A,Selhurst Park,Croydon
10,2016,8,Tottenham,Leicester,D,White Hart Lane,Haringey
11,2016,8,Chelsea,Everton,H,Stamford Bridge,Hammersmith and Fulham
11,2016,8,West Ham,Stoke,D,London Stadium,Newham
11,2016,8,Arsenal,Tottenham,D,Emirates Stadium,Islington
11,2016,9,Crystal Palace,Man City,A,Selhurst Park,Croydon
11,2016,9,Tottenham,West Ham,H,White Hart Lane,Haringey
11,2016,9,Chelsea,Tottenham,H,Stamford Bridge,Hammersmith and Fulham
11,2016,9,Arsenal,Bournemouth,H,Emirates Stadium,Islington
12,2016,9,Crystal Palace,Southampton,H,Selhurst Park,Croydon
12,2016,9,Tottenham,Swansea,H,White Hart Lane,Haringey
12,2016,9,West Ham,Arsenal,A,London Stadium,Newham
12,2016,9,Arsenal,Stoke,H,Emirates Stadium,Islington
12,2016,10,Chelsea,West Brom,H,Stamford Bridge,Hammersmith and Fulham
12,2016,10,Crystal Palace,Man United,A,Selhurst Park,Croydon
12,2016,10,Tottenham,Hull,H,White Hart Lane,Haringey
12,2016,10,West Ham,Burnley,H,London Stadium,Newham
12,2016,10,Crystal Palace,Chelsea,A,Selhurst Park,Croydon
12,2016,10,West Ham,Hull,H,London Stadium,Newham
12,2016,10,Tottenham,Burnley,H,White Hart Lane,Haringey
12,2016,10,Arsenal,West Brom,H,Emirates Stadium,Islington
12,2016,10,Chelsea,Bournemouth,H,Stamford Bridge,Hammersmith and Fulham
12,2016,10,Chelsea,Stoke,H,Stamford Bridge,Hammersmith and Fulham
1,2017,10,Arsenal,Crystal Palace,H,Emirates Stadium,Islington
1,2017,10,West Ham,Man United,A,London Stadium,Newham
1,2017,10,Crystal Palace,Swansea,A,Selhurst Park,Croydon
1,2017,10,Tottenham,Chelsea,H,White Hart Lane,Haringey
1,2017,11,Tottenham,West Brom,H,White Hart Lane,Haringey
1,2017,11,West Ham,Crystal Palace,H,London Stadium,Newham
1,2017,11,Crystal Palace,Everton,A,Selhurst Park,Croydon
1,2017,11,Arsenal,Burnley,H,Emirates Stadium,Islington
1,2017,11,Chelsea,Hull,H,Stamford Bridge,Hammersmith and Fulham
1,2017,11,Arsenal,Watford,A,Emirates Stadium,Islington
2,2017,11,West Ham,Man City,A,London Stadium,Newham
2,2017,11,Chelsea,Arsenal,H,Stamford Bridge,Hammersmith and Fulham
2,2017,11,Crystal Palace,Sunderland,A,Selhurst Park,Croydon
2,2017,11,Tottenham,Middlesbrough,H,White Hart Lane,Haringey
2,2017,12,Arsenal,Hull,H,Emirates Stadium,Islington
2,2017,12,West Ham,West Brom,D,London Stadium,Newham
2,2017,12,Chelsea,Swansea,H,Stamford Bridge,Hammersmith and Fulham
2,2017,12,Crystal Palace,Middlesbrough,H,Selhurst Park,Croydon
2,2017,12,Tottenham,Stoke,H,White Hart Lane,Haringey
3,2017,13,Tottenham,Everton,H,White Hart Lane,Haringey
3,2017,13,West Ham,Chelsea,A,London Stadium,Newham
3,2017,13,Crystal Palace,Watford,H,Selhurst Park,Croydon
3,2017,13,West Ham,Leicester,A,London Stadium,Newham
3,2017,13,Tottenham,Southampton,H,White Hart Lane,Haringey
4,2017,1,Chelsea,Crystal Palace,A,Stamford Bridge,Hammersmith and Fulham
4,2017,1,Arsenal,Man City,D,Emirates Stadium,Islington
4,2017,1,Arsenal,West Ham,H,Emirates Stadium,Islington
4,2017,1,Chelsea,Man City,H,Stamford Bridge,Hammersmith and Fulham
4,2017,1,Tottenham,Watford,H,White Hart Lane,Haringey
4,2017,1,West Ham,Swansea,H,London Stadium,Newham
4,2017,1,Crystal Palace,Arsenal,H,Selhurst Park,Croydon
4,2017,1,Crystal Palace,Leicester,D,Selhurst Park,Croydon
4,2017,1,Tottenham,Bournemouth,H,White Hart Lane,Haringey
4,2017,1,West Ham,Everton,D,London Stadium,Newham
4,2017,1,Chelsea,Southampton,H,Stamford Bridge,Hammersmith and Fulham
4,2017,1,Arsenal,Leicester,H,Emirates Stadium,Islington
4,2017,1,Crystal Palace,Tottenham,A,Selhurst Park,Croydon
